;;;;;;;;;;;Package.Mass.Value;;
ID;WEEK COM;MONTH;ORIGIN;ORIGIN CITY;DESTINATION  (DROP LIST);MODE;UNITS;CARTON;GOH UNITS;TOTAL UNITS;WEIGHT;CBM;TYPE
1;8/30/2021;August;Turkey;Istanbul;DE;Road;34237;1356;0;34237;13560;97,63;FTL
2;8/30/2021;August;Turkey;Istanbul;DE;Road;18440;1251;0;18440;12510;90,07;FTL
3;8/30/2021;August;Turkey;Istanbul;UK;Road;19765;1237;0;19765;12370;89,06;FTL
4;8/30/2021;August;Turkey;Istanbul;UK;Road;51059;1487;0;51059;14870;107,06;FTL
5;8/30/2021;August;Turkey;Istanbul;DE;Road;27046;1286;0;27046;12860;92,592;FTL
6;8/30/2021;August;Turkey;Istanbul;UK;Road;23155;1223;0;23155;12230;88,056;FTL
7;8/30/2021;August;Turkey;Istanbul;UK;Road;28049;1186;1701;29750;13561;85,392;FTL
8;8/30/2021;August;Turkey;Istanbul;DE;Road;18664;1220;0;18664;12200;87,84;FTL
9;8/30/2021;August;Turkey;Istanbul;DE;Road;42792;1289;0;42792;12890;92,808;FTL
10;8/30/2021;August;Turkey;Istanbul;UK;Road;18685;1135;0;18685;11350;81,72;FTL
11;8/30/2021;August;Turkey;Istanbul;UK;Road;30634;1257;0;30634;12570;90,504;FTL
12;8/30/2021;August;Turkey;Istanbul;DE;Road;25092;1277;0;25092;12770;91,944;FTL
13;8/30/2021;August;Turkey;Istanbul;UK;Air;334;22;0;334;220;1,584;LTL
14;8/30/2021;August;Spain;Madrid;DE;Road;22412;926;0;22412;9260;66,672;FTL
15;8/30/2021;August;Spain;Barcelona;DE;Road;20590;970;0;20590;9700;69,84;FTL
16;8/30/2021;August;Spain;Barcelona;DE;Road;7348;293;0;7348;2930;21,096;FTL
17;8/30/2021;August;Spain;Barcelona;DE;Road;13162;957;0;13162;9570;68,904;FTL
18;8/30/2021;August;Spain;Barcelona;DE;Road;15389;754;0;15389;7540;54,288;FTL
19;8/30/2021;August;Spain;Barcelona;DE;Road;12871;861;0;12871;8610;61,992;FTL
20;8/30/2021;August;Turkey;Istanbul;US;Sea;18457;994;0;18457;9940;71,568;FCL
21;8/30/2021;August;Turkey;Istanbul;US;Sea;18584;872;0;18584;8720;62,784;FCL
22;9/6/2021;September;Turkey;Istanbul;US;Sea;22357;907;0;22357;9070;65,304;FCL
23;9/6/2021;September;Turkey;Istanbul;US;Sea;24333;1001;0;24333;10010;72,072;FCL
24;9/6/2021;September;Turkey;Istanbul;US;Sea;24488;970;0;24488;;;FCL
25;9/6/2021;September;Turkey;Istanbul;US;Sea;4628;181;0;4628;1810;13,032;FCL
26;9/6/2021;September;Turkey;Istanbul;US;Sea;17166;895;0;17166;8950;64,44;FCL
27;9/6/2021;September;Turkey;Istanbul;US;Sea;19011;1015;0;19011;10150;73,08;FCL
28;9/6/2021;September;Turkey;Istanbul;US;Sea;24831;898;0;24831;8980;64,656;FCL
29;9/6/2021;September;Turkey;Istanbul;US;Sea;27581;1051;0;27581;10510;75,672;FCL
30;9/6/2021;September;Turkey;Istanbul;US;Sea;25927;905;0;25927;9050;65,16;FCL
31;9/6/2021;September;Turkey;Istanbul;US;Sea;22689;1055;0;22689;10550;75,96;FCL
32;9/6/2021;September;Turkey;Istanbul;US;Sea;9057;200;0;9057;2000;14,4;FCL
33;9/6/2021;September;Turkey;Istanbul;UK;Road;6941;336;0;6941;3360;24,192;LTL
34;9/6/2021;September;Turkey;Istanbul;UK;Road;27680;1299;0;27680;12990;93,528;FTL
35;9/6/2021;September;Turkey;Istanbul;DE;Road;23450;1369;0;23450;13690;98,568;FTL
36;9/6/2021;September;Turkey;Istanbul;DE;Road;28849;1300;0;28849;13000;93,6;FTL
37;9/6/2021;September;Turkey;Istanbul;UK;Road;16849;1329;0;16849;13290;95,688;FTL
38;9/6/2021;September;Turkey;Istanbul;UK;Road;18616;1202;0;18616;12020;86,544;FTL
39;9/6/2021;September;Turkey;Istanbul;UK;Road;29766;1382;0;29766;13820;99,504;FTL
40;9/6/2021;September;Turkey;Istanbul;UK;Road;15137;1266;0;15137;12660;91,152;FTL
